Designator,Mid X,Mid Y,Rotation,Layer
D1,62.33,-117.8,90.0,bottom
D10,116.33,-114.8,90.0,bottom
D11,134.33,-124.8,90.0,bottom
D12,152.33,-129.8,90.0,bottom
D13,62.33,-151.8,90.0,bottom
D14,80.33,-151.8,90.0,bottom
D15,98.33,-136.8,90.0,bottom
D16,116.33,-131.8,90.0,bottom
D17,134.33,-141.8,90.0,bottom
D18,152.33,-146.8,90.0,bottom
D19,62.33,-168.8,90.0,bottom
D2,80.33,-117.8,90.0,bottom
D20,80.33,-168.8,90.0,bottom
D21,98.33,-153.8,90.0,bottom
D22,116.33,-148.8,90.0,bottom
D23,134.33,-158.8,90.0,bottom
D24,152.33,-163.8,90.0,bottom
D25,153.63,-176.2,270.0,bottom
D26,174.793383,-182.036618,280.0,bottom
D27,189.183591,-184.65359,210.0,bottom
D28,338.0,-117.8,90.0,bottom
D29,320.0,-117.8,90.0,bottom
D3,98.33,-102.8,90.0,bottom
D30,302.0,-102.8,90.0,bottom
D31,284.0,-97.8,90.0,bottom
D32,266.0,-107.8,90.0,bottom
D33,248.0,-112.8,90.0,bottom
D34,338.0,-134.8,90.0,bottom
D35,320.0,-134.8,90.0,bottom
D36,302.0,-119.8,90.0,bottom
D37,284.0,-114.8,90.0,bottom
D38,266.0,-124.8,90.0,bottom
D39,248.0,-129.8,90.0,bottom
D4,116.33,-97.8,90.0,bottom
D40,338.0,-151.8,90.0,bottom
D41,320.0,-151.8,90.0,bottom
D42,302.0,-136.8,90.0,bottom
D43,284.0,-131.8,90.0,bottom
D44,266.0,-141.8,90.0,bottom
D45,248.0,-146.8,90.0,bottom
D46,338.0,-168.8,90.0,bottom
D47,320.0,-168.8,90.0,bottom
D48,302.0,-153.8,90.0,bottom
D49,284.0,-148.8,90.0,bottom
D5,134.33,-107.8,90.0,bottom
D50,266.0,-158.8,90.0,bottom
D51,248.0,-163.8,90.0,bottom
D52,212.39641,-184.10359,330.0,bottom
D53,225.936618,-181.736618,260.0,bottom
D54,247.0,-175.8,270.0,bottom
D6,152.33,-112.8,90.0,bottom
D7,62.33,-134.8,90.0,bottom
D8,80.33,-134.8,90.0,bottom
D9,98.33,-119.8,90.0,bottom
S1,53.33,-115.1625,0.0,top
S10,107.33,-112.1625,0.0,top
S11,125.33,-122.1625,0.0,top
S12,143.33,-127.1625,0.0,top
S13,53.33,-149.1625,0.0,top
S14,71.33,-149.1625,0.0,top
S15,89.33,-134.1625,0.0,top
S16,107.33,-129.1625,0.0,top
S17,125.33,-139.1625,0.0,top
S18,143.33,-144.1625,0.0,top
S19,53.33,-166.1625,0.0,top
S2,71.33,-115.1625,0.0,top
S20,71.33,-166.1625,0.0,top
S21,89.33,-151.1625,0.0,top
S22,107.33,-146.1625,0.0,top
S23,125.33,-156.1625,0.0,top
S24,143.33,-161.1625,0.0,top
S25,143.33,-181.1625,0.0,top
S26,163.488729,-183.297349,350.0,top
S27,184.138493,-191.545225,330.0,top
S28,347.0,-115.1625,0.0,top
S29,329.0,-115.1625,0.0,top
S3,89.33,-100.1625,0.0,top
S30,311.0,-100.1625,0.0,top
S31,293.0,-95.1625,0.0,top
S32,275.0,-105.1625,0.0,top
S33,257.0,-110.1625,0.0,top
S34,347.0,-132.1625,0.0,top
S35,329.0,-132.1625,0.0,top
S36,311.0,-117.1625,0.0,top
S37,293.0,-112.1625,0.0,top
S38,275.0,-122.1625,0.0,top
S39,257.0,-127.1625,0.0,top
S4,107.33,-95.1625,0.0,top
S40,347.0,-149.1625,0.0,top
S41,329.0,-149.1625,0.0,top
S42,311.0,-134.1625,0.0,top
S43,293.0,-129.1625,0.0,top
S44,275.0,-139.1625,0.0,top
S45,257.0,-144.1625,0.0,top
S46,347.0,-166.1625,0.0,top
S47,329.0,-166.1625,0.0,top
S48,311.0,-151.1625,0.0,top
S49,293.0,-146.1625,0.0,top
S5,125.33,-105.1625,0.0,top
S50,275.0,-156.1625,0.0,top
S51,257.0,-161.1625,0.0,top
S52,217.0,-191.204551,30.0,top
S53,237.0,-183.297349,10.0,top
S54,257.0,-181.1625,0.0,top
S6,143.33,-110.1625,0.0,top
S7,53.33,-132.1625,0.0,top
S8,71.33,-132.1625,0.0,top
S9,89.33,-117.1625,0.0,top
U1,166.33,-131.585,0.0,top
U2,234.11,-130.015,180.0,top
U3,167.13,-164.8,180.0,top
U5,233.2,-164.8,0.0,top
